"(p,q,P,Q)",AIC
"(0, 1, 0, 2)",1773.5228077004972
"(1, 0, 2, 0)",1773.6181305768134
"(1, 0, 3, 3)",1773.641024774554
"(0, 1, 2, 0)",1773.6507425325794
"(1, 0, 1, 1)",1773.772542590781
"(0, 1, 1, 1)",1773.801076238471
"(2, 0, 1, 3)",1773.8492621094983
"(0, 2, 1, 3)",1773.9852811059886
"(1, 0, 3, 0)",1774.0032060947879
"(0, 1, 3, 0)",1774.0202927841146
"(0, 0, 3, 1)",1774.0642363006218
"(0, 3, 1, 3)",1774.069915422735
"(1, 0, 0, 3)",1774.098672322468
"(1, 0, 2, 1)",1774.1057266618218
"(0, 1, 0, 3)",1774.1130523803836
"(0, 1, 2, 1)",1774.1166616007795
"(2, 0, 3, 1)",1774.2809199304231
"(0, 3, 3, 1)",1774.3571552260114
"(0, 2, 3, 1)",1774.4101206598461
"(0, 1, 1, 3)",1775.159809408894
"(1, 0, 1, 2)",1775.2047385707879
"(1, 0, 1, 3)",1775.2087937413548
"(0, 1, 1, 2)",1775.2159110914213
"(2, 2, 2, 2)",1775.2687826034467
"(1, 0, 3, 1)",1776.0318632992148
"(0, 1, 3, 1)",1776.0366379010702
"(0, 2, 0, 0)",1776.3350571812211
"(0, 3, 0, 0)",1776.6531995217015
"(2, 2, 1, 0)",1776.7256232072195
"(2, 2, 0, 1)",1777.4682729885121
"(2, 2, 0, 2)",1778.068584250325
"(0, 0, 0, 0)",1778.449512993644
"(2, 2, 1, 1)",1778.694636838064
"(2, 2, 2, 3)",1778.7764389974377
"(2, 2, 2, 0)",1778.8541855149867
"(2, 2, 3, 3)",1778.9996578634295
"(2, 2, 0, 3)",1779.1491562363053
"(1, 0, 0, 0)",1779.4480854880828
"(2, 2, 3, 0)",1779.4622064847013
"(2, 2, 2, 1)",1779.6947195781263
"(0, 1, 0, 0)",1779.7520388376988
"(2, 2, 1, 3)",1780.7304335200142
"(2, 2, 3, 2)",1780.9267854797824
"(2, 2, 1, 2)",1781.2177600648542
"(2, 2, 3, 1)",1781.6137440699358
"(2, 2, 0, 0)",1785.8830691148898
